(seguindo o Banco de dados)			(audiovisual, bibliográfico, cartográfico, textual...)	(artigo, fotografia...)	(impresso, datilografado, manuscrito, digital...)		(/palavras chave)		Cidade/ Instituição/ em que foi publicado		Orientador; Coorientador	Recorte temporal	Recorte Espacial	Bairro/Local	
168	REPRESENTAÇÕES DO CENTRO HISTÓRICO DE SÃO JOÃO DEL-REI- MG POR PARTE DAS POPULAÇÕES DE TERRITÓRIOS PERIFÉRICOS	Priscila Dantas Delphino e Regina Helena Alves Silva.	Textual	Dissertação	Digital	História	Patrimônio arquitetônico; identidade; memória; história.	2015	Belo Horizonte (UFMG)	Essa pesquisa propõe reconhecer as representações de moradores de territórios operários e periféricos sobre o conjunto arquitetônico urbanístico central considerado e legitimado enquanto patrimônio histórico na cidade de São João del-Rei - MG, adotando a História oral como metodologia. Essas representações são formuladas a partir da construção sociohistórica do discurso preservacionista vigentes no recorte temporal da pesquisa em questão. 	Regina Helena Alves Silva.	1960 - 2015	São João del-Rei 	Centro	https://drive.google.com/file/d/1ho2FsX850sbcWI0v4f09Oa6NUTMH4erj/view?usp=sharing
169	AS LUZES DO TEMPO: BAPTISTA CAETANO DE ALMEIDA, PROJETO CIVILIZACIONAL E PRÁTICAS POLÍTICAS NO BRASIL PÓS-INDEPENDÊNCIA. (SÃO JOÃO DEL-REI, 1824-1839).	Carlos Eduardo Maculan e Alexandre Mansur  Barata.	Textual	Dissertação	Digital	História	Baptista Caetano de Almeida; Minas Gerais (São João del-Rei); imprensa; liberalismo.	2011	Juiz de Fora (UFJF)	Esta dissertação discute as ações de uma dessas lideranças na província de Minas Gerais: Baptista Caetano de Almeida. Comerciante e político influente, Baptista Caetano foi um dos expoentes do liberalismo moderado. Para isso, inaugurou a primeira biblioteca/livraria pública da província e trouxe para a vila de São João del-Rei sua primeira tipografia.	Alexandre Mansur Barata.	1824-1839	São João del-Rei 	-	https://drive.google.com/file/d/1pXR4hGGzFNSSMcBQVIPfAhrU4dFRQ808/view?usp=sharing
170	ARRANJO PRODUTIVO LOCAL: O CASO DE SÃO JOÃO DEL REI-MG	Ana Carla Prado da Silveira	Textual	Dissertação	Digital	Administração Pública	-	2008	Rio de Janeiro (FGV)	O objetivo dessa dissertação foi investigar o processo de formação do Arranjo Produtivo Local (APL) de estanho em São João del-Rei - A7 Estanho, particularizando suas contribuições para o desenvolvimento local do município.	-	-	São João del-Rei 	-	https://drive.google.com/file/d/1g_jbBp7R8wfUc5STGZJXEeZEmpPck4a2/view?usp=sharing
171	HIGIENE E A CIDADE: A CIRCULAÇÃO DE TEORIAS HIGIENISTAS, EM SÃO JOÃO DEL-REI, NO FINAL DO SÉCULO XIX	Daniela Flávia Martins Fonseca	Textual	Dissertação	Digital	Educação	circulação de teorias higienistas; São João del Rei; final do século XIX.	2012	Belo Horizonte (UFMG)	Aborda ideias sobre a higiene pública em São João del Rei no final do século XIX. As fontes foram jornais da época, e identificação dos sujeitos que escreviam os jornais.	-	1713-1808	São João del-Rei 	-	https://drive.google.com/file/d/1w_-7WoOXmZHlr7ip-HZypBVCRPMGq2GV/view?usp=sharing
172	ENTRE A MORTE, A PALAVRA E O CHÃO:  MEMÓRIA, SENTIMENTO E LUTO NOS CEMITÉRIOS DE SÃO JOÃO DEL REI	Francisco de Assis Carvalho	Textual	Dissertação	Digital	Psicologia	epitáfio; memória; luto; cemitério	2014	São Paulo (PUC)	Apresenta a importância da utilização dos epitáfios nos cemitérios de São João del Rei. A interpretação destas mensagens revela significados e sentidos variados e tem como técnica a Hermenêutica de Paul Ricoeur.	Maria Helena Pereira Franco.	-	São João del-Rei 	Cemitérios do Carmo, São Francisco de Assis, Mercês, Rosário, São Gonçalo	https://drive.google.com/file/d/19FTyTZDA3wxzt0kImxH9-DuIBHSWiX2t/view?usp=sharing
173	MAPEAMENTO DE ÁREAS DE RISCO SOCIOAMBIENTAL: O CASO DO MUNICÍPIO DE SÃO JOÃO DEL-REI - MG 	Gustavo Pyra Almeida	Textual	Dissertação	Digital	Geociências	problemas ambientais, cambio climático, gestão de riscos	2014	São João del Rei (UFSJ)	Apresenta a expansão urbana de São João del Rei para áreas suscetíveis à ocorrência de processos risco socioambiental. 	Silva Elena Ventorini.	2013	São João del-Rei 	-	https://drive.google.com/file/d/11nrk1scd0pA6FKqosPUT7iIw-JRq_t6g/view?usp=sharing
174	PERCEPÇÃO AMBIENTAL DA POPULAÇÃO RESIDENTE NO ENTORNO DO PARQUE ECOLÓGICO MUNICIPAL DA SERRA DO LENHEIRO: ESTUDO DE CASO DOS BAIRROS SENHOR DOS MONTES E TEJUCO MUNICÍPIO DE SÃO JOÃO DEL-REI/MG 	Ivair Gomes, Felipe Casar Pereira, Arlon Cândido Pereira	Textual	Pesquisa de Iniciação Científica	Digital	Geografia	percepção ambiental; território; identidade; contradições	2018	Uberlândia 	Apresenta a percepção ambiental dos moradores dos bairros Tejuco e Senhor dos Montes. Com os resultados obtidos foi possível observar contrastes significativos e percepções ambientais diferenciadas dos moradores. 	-	2016/ 2017	São João del-Rei 	Senhor dos Montes e Tejuco.	https://drive.google.com/file/d/11PAG9RIdPEJ0J0PCewwiXk0Pf5-k0fjm/view?usp=sharing
175	O DRAMA SOCIAL DA ABOLIÇÃO: ESCRAVIDÃO. LIBERDADE, TRABALHO E CIDADANIA EM SÃO JOÃO DEL-REI, MINAS GERAIS (1871-1897)	Denilson de Cássio Silva.	Textual	Dissertação	Digital	História	processo de abolição; direito; liberdade; escravidão	2011	Niterói (UFF)	A pesquisa apresenta um estudo do processo de abolição da escravidão, com foco nos embates, nas expectativas e nas incertezas, experimentadas pela cidade de São João del Rei no final do Século XIX.	Sheila de Castro Faria	1871-1897	São João del-Rei 	-	https://drive.google.com/file/d/1i4rD76pBIDl9jb6zoBfPMUhGZn85rUji/view?usp=sharing
176	ATUAÇÃO DO PROGRAMA MINHA CASA MINHA VIDA EM SÃO JOÃO DEL REI, MINAS GERAIS	Jaine Cristina Ferreira	Textual	Dissertação	Digital	Ciências Econômicas	políticas públicas; programa minha casa minha vida; eficácia, São João del Rei	-	São João del Rei (UFSJ)	Analisa a atuação do Programa Minha Casa Minha Vida e sua contribuição para o déficit habitacional em São João del Rei.	Aline Cristina Cruz, Daniela Almeida Raposo Tavares.	2010	São João del-Rei 	Parque das Cachoeiras, Risoleta Neves, Risoleta Neves II.	https://drive.google.com/file/d/1ta3uhTfoY-6J9vp0_EgPBtvxTSi-x0aZ/view?usp=sharing
177	DO BAIRRO AO HOMEM	Olívia Teixeira Santiago.	Textual	Trabalho de Conclusão de Curso	Digital	Arquitetura e Urbanismo	população desfavorecida sócio-espacialmente	2014	São João del Rei (UFSJ)	Estuda a população desfavorecida sócio-espacialmente no espaça intra-urbano a fim de conhecer a relação entre a qualidade de vida das pessoas e o bairro que estas habitam.	Márcia Saeko Hirata.	-	São João del-Rei 	-	https://drive.google.com/file/d/1AFOfUc3HrngyjjvpAlh2bOAgg-ax_DTT/view?usp=sharing
178	BAIRRO PASSADO E PRESENTE O FUTURO É AGORA - SENHOR DOS MONTES	Ana Luísa Magalhães; Bárbara Pereira; Lívia Muchinelli; Luísa Queiroz Barroso; Márcia Saeko Hirata 	Textual	Revista	Digital	Interdisciplinar (Arquitetura e Urbanismo.; História)	-	-	São João del-Rei (UFSJ)	O trabalho busca suprir a falta de informações sobre a História do bairro Senhor dos Montes por meio de entrevistas, documentos e fotografias. 	Lívia Muchinelli; Márcia Saeko Hirata	Séc. XX 	São João del- Rei	Senhor dos Montes	https://drive.google.com/file/d/1L41ZsBIqarwzJU3n9nfW_3X0_k0s47r-/view?usp=sharing
179	A CONTRIBUIÇÃO DA POLÍTICA URBANA NA SALVAGUARDA DO PATRIMÔNIO CULTURAL EM SÃO JOÃO DEL REI, MG AVANÇOS E ENTRAVES	Daniela Abritta Cota; Cecília Miranda Silva	Textual	Artigo 	Digital	Arquitetura e Urbanismo	política urbana; patrimônio cultural; ambiente urbano; São João Del-Rei	-	-	Este artigo objetiva avaliar a contribuição da política urbana na salvaguarda do patrimônio cultural em São João Del Rei, MG, buscando-se  identificar e avaliar os instrumentos urbanísticos adotados pela administração municipal e sua contribuição para a salvaguarda do patrimônio cultural no caso de São João Del Rei, considerando, inclusive, o arcabouço teórico acerca dessa temática	-	Séc XX e XXI	São João del- Rei	-	https://drive.google.com/file/d/1iywz3MwOKLNGIXYRSOyL9asAqKO1cgzY/view?usp=sharing
180	O INVENTÁRIO DE UM MÚSICO SÃO-JOANENSE DO SÉCULO XVIII LOURENÇO JOSÉ FERNANDES BRAZIEL	Aluízio José Veigas	Textual	Artigo 	Digital	Interdisciplinar (Música, História)	música; inventário; história; cultura	2004	Juiz de Fora (UFJF)	Lourenço José Fernandes Braziel, natural de São João del-Rei, manteve um grupo musical de coro e orquestra desde fins do século XVIII. Era possuidor de um acervo musical bastante expressivo e bem atualizado, incluindo, além da grande maioria de música sacra, muita música de teatro e orquestral, como também de câmara. A importância do acervo musical, cuja relação nominal das obras e seus autores está citada no inventário, está na possibilidade de se definir a autoria de obras musicais existentes nos arquivos são-joanenses e em outros no estado de Minas Gerais, especialmente das obras de mineiros como Manoel Dias de Oliveira. Infelizmente, com a divisão do acervo a parte que tocou a João Leocádio foi removida de São João del-Rei e dela não há mais notícia. Algumas obras restaram e muitas foram copiadas, existindo ainda nos acervos são-joanenses até mesmo cópias de Lourenço, Joaquim Bonifácio e João Leocádio.	-	Séc. XVIII e XIX	São João del- Rei	-	https://drive.google.com/file/d/1iJv5u1lVwzRddCxuQNN3PJNQbnXchcEk/view?usp=sharing
181	PROBLEMÁTICAS DA EXPANSÃO URBANA EM CIDADE HISTÓRICA - ESTUDO EM SÃO JOÃO DELREI, MG	Ana Luísa Teixeira; Ana Luísa Marques Carvalho; Silivia Elena Ventorini	Textual	Artigo 	Digital	Arquitetura e Urbanismo	plano diretor; mapas temáticos; planejamento urbano	2020	Curitiba (UTFPR)	Este artigo tem como objetivo apresentar o mapeamento da cidade de São João del-Rei -MG, com ênfase às problemáticas da expansão urbana ao entorno de um núcleo histórico cuja formação iniciou-se há mais de três séculos no fundo de um vale e tendo, inicialmente, como condicionantes de seus arranjos a morfologia e a hidrografia.	-	Séc XX e XXI	São João del- Rei	Centro Histórico	https://drive.google.com/file/d/1DVBskEF_CBX-Oz5VvD4q0IrMHhzktdFv/view?usp=sharing
182	BARROCO E ROCOCÓ NAS IGREJAS  DE SÃO JOÃO DEL-REI E TIRADENTES	Myrian Andrade Ribeiro de Oliveira; Olinto Rodrigues dos Santos	Textual	Livro	Digital	Interdisciplinar ( (Arquitetura e Urbanismo, História)	-	2011	Brasília (IPHAN)	É apresentado o importante  acervo do barroco e do  rococó nas igrejas de São João del-Rei e de Tiradentes e sobretudo à cultura e às tradições religiosas tão preservadas nessas centenárias cidades mineiras.  	-	Séc XVIII	São João del-Rei; Tiradentes	Centro Histórico	https://drive.google.com/file/d/1Ba-MyBAbuUlv11sLLBVoll8qFs5BdCrS/view?usp=sharing
183	BASE DE DADOS MOSTRA HISTÓRIA DA IMPRENSA DE SÃO JOÃO DEL-REI 	Guilherme Jorge de Rezende	Textual	Artigo 	Digital	Interdisciplinar (História, Jornalismo)	história da imprensa; São João del-Rei; biblioteca municipal Baptista Caetano de Almeida; Universidade Federal de São João del-Rei; acervo digitalizado	-	Porto Alegre (UFRGS)	Ao comemorar 181 anos, a Biblioteca Municipal Baptista Caetano  de Almeida, de São João del-Rei, primeira biblioteca pública de Minas Gerais, vai disponibilizar o acesso ao acervo de jornais são-joanenses que circularam no período de 1829 a 1938. São mais de 18 mil fotos digitalizadas de 45 periódicos, acessíveis em microfilmes e base de dados na Internet. A preservação desse acervo, que reúne exemplares e até coleções completas de periódicos de uma ampla diversidade cultural, do humorístico ao político e do escolar ao religioso, foi possível graças ao projeto integrado da direção da Biblioteca Municipal e da Universidade Federal de São João del-Rei-UFSJ, com apoio integral da Fundação de Amparo à Pesquisa do Estado de Minas Gerais-FAPEMIG.	-	Séc. XIX e XX	São João del- Rei	São João Del-Rei	https://drive.google.com/file/d/1YbKb9GuGFNyWMf4pGAJ2zTgjXO_8E-b5/view?usp=sharing
184	SÃO JOÃO DEL REI COMO ENTENDER, PROTEGER E VIVER A CIDADE	Affonso Ávila	Textual	Livro	Digital	Urbanismo	-	1984	Belo Horizonte (FJP)	Esta Cartilha de linguagem acessível e apoio gráfico-visual ilustrativo, busca ser o instrumento de mediação entre os planejadores das Diretrizes para o Desenvolvimento da Estrutura Urbana e Preservação do Centro Histórico, ora entregues a São João Del-Rei, e a comunidade local.	-	Séc XVIII - XX	São João del- Rei	-	https://drive.google.com/file/d/1SVDSAV_ItuWAstC2EyTsstmXcu1UKxXc/view?usp=sharing
185	PRESERVAÇÃO DO PATRIMÔNIO ARQUITETÔNICO E URBANO EM SÃO JOÃO DEL REI, BRASIL APONTAMENTOS SOBRE A ATUAÇÃO DO CONSELHO MUNICIPAL DE PRESERVAÇÃO DO PATRIMÔNIO CULTURAL 	Daniela Abritta Cota; Euclides de Freitas Couto	Textual	Artigo 	Digital	Arquitetura e Urbanismo	patrimônio histórico e cultural	2012	Itália(DAPT)	Este artigo busca refletir sobre a gestão do patrimônio arquitetônico e urbano em São João Del Rei, MG – Brasil, a partir das práticas empreendidas pelo Conselho Municipal de Preservação do Patrimônio Cultural (CMPPC), considerando a sua efetiva atuação no âmbito municipal.	-	Século XXI	São João del- Rei	Centro Histórico	https://drive.google.com/file/d/18Yn7jmVEg0cmJbFVcezvkFOOuv9tyVbv/view?usp=sharing
186	POLÍTICAS PÚBLICAS NA ZONA RURAL DE SÃO JOÃO DEL-REI: UMA VISÃO DE SEUS MORADORES	Larissa Medeiros Marinho dos Santos; Johnny da Costa Barbosa; Rodrigo Meireles dos Santos e Anna Beatriz Ribeiro Paiva Netto	Textual	Artigo	Digital	Psicologia Ambiental	Zona rural,  rural; Psicologia Ambiental; Políticas Públicas; Psicologia do Desenvolvimento	2020	São Paulo (USP/ANPPAS)	O presente trabalho visa investigar como é a visão de habitantes da Zona Rural de São João del-Rei sobre o ambiente que os cerca e sobre as políticas públicas para a região.			São João del- Rei	Zona Rural	https://drive.google.com/file/d/1HmChw9CDu2HLbhv4_GwcGXVs6P6z1KxE/view?usp=sharing
187	IMPACTOS DA EXPANSÃO UNIVERSITÁRIA PARA MORADORES DE SÃO JOÃO DEL-REI	Cristiane Belo de Araújo e Larissa Medeiros Marinho dos Santos	Textual	Artigo	Digital	Psicologia Ambiental	psicologia ambiental; expansão universitária; cidade	2014	-	Esta pesquisa teve como objetivo investigar os impactos na vida dos moradores e na cidade de São João del- Rei decorrentes da adesão da Universidade ao Programa de Apoio a Planos de Reestruturação e Expansão das Universidades Federais (REUNI). O foco foi na inter-relação da pessoa-ambiente a partir do referencial da psicologia ambiental e do modelo bioecológico do desenvolvimento humano.			São João del- Rei		https://drive.google.com/file/d/1UdQban1yP73MHGZuDYPcR4Z79HzioUD0/view?usp=sharing
188	IMPACTOS SOCIOAMBIENTAIS DA AUTORREGULAÇÃO DE PROJETOS E OBRAS EM SÃO JOÃO DEL-REI/MG E A ATUAÇÃO DOS ARQUITETOS LOCAIS	Guilherme Nunes de Vasconcelos & Clarissa Cordeiro de Campos	Textual	Artigo	Digital	Arquitetura e Urbanismo	Impactos socioambientais; projetos; obras; São João del-Rei	2019	Belo Horizonte (UFMG)	O presente artigo tem como objetivo principal analisar criticamente os mecanismos de regulação urbana em São João Del-Rei (SJDR), cidade histórica do estado de Minas Gerais, Brasil, a partir do estudo de impactos socioambientais na produção do espaço urbano, bem como de suas consequências para a atuação de construtores e arquitetos locais.			São João del- Rei		https://drive.google.com/file/d/1Sp-BTAz0ObTHJq0U2O2kmc-SLYSagQ5_/view?usp=sharing
189	VERTENTES NO JORNALISMO MINEIRO	Filomena Maria Avelina Bomfim e Ivan Vasconcelos Figueiredo	Textual	ebook	Digital	História do jornalismo mineiro	Jornalismo regional; cidadania; identidade regional; história do jornalismo; cultura regional	2015	São Paulo (Universidade Metodista de São Paulo)	Trata-se de uma coletânea de sete artigos sobre a prática do jornalismo na região Campos das Vertentes, em Minas Gerais, desenvolvidos por estudiosos de variadas áreas de produção de conhecimento que se dedicaram à análise do impacto do jornalismo em seus nichos de trabalho. O objetivo desta obra é, além de destacar a natureza transdisciplinar do campo da Comunicação Social (no geral) e do jornalismo (em particular), enfatizar a importância desse intercâmbio que resulta em processos de enriquecimento para todas as partes envolvidas. As trocas entre os repertórios simbólicos das várias correntes registradas nessas páginas promovem a consolidação de um fórum de debates sobre a origem multicultural da Comunicação, bem como sobre seus efeitos multifacetados, tendo em vista os contextos em que transitam.			São João del- Rei		https://drive.google.com/file/d/1iow0VLRp57Ag__T_IoN2q0GbRvRM8WMd/view?usp=sharing
190	OS FESTIVAIS DE INVERNO E AS UNIVERSIDADES: CASO SÃO JOÃO DEL-REI	Ivan Vasconcelos Figueiredo e Paulo Henrique Caetano	Textual	Capítulo de livro	Digital	Extensão Universitária - Cultura	Inverno Cultural UFSJ	2020	Alfenas (UNIFAL)	O documento é um capítulo de livro sobre Extensão Universitária. O capítulo aborda o Inverno Cultural da UFSJ, sua história, suas diferentes fases e sua relação identitária com a cidade de São João del-Rei.			São João del- Rei		https://drive.google.com/file/d/1aodvKC8XqvVSCBEi9VRrNMLgTZAGtoOu/view?usp=sharing
191	O LUGAR DA MULHER NEGRA NO ESPAÇO URBANO: DA SEGREGAÇÃO SOCIOESPACIAL À RESISTÊNCIA NO BAIRRO SÃO DIMAS EM SÃO JOÃO DEL REI - MG	Bruna Lúcia Santos	Textual	Trabalho de Conclusão de Curso	Digital	Geografia	Segregação; Urbanização; Capitalismo; Negros; Mulher negra.	2018	São João del-Rei (UFSJ)	O objetivo deste trabalho é analisar qual o lugar da mulher negra no espaço urbano de São João del Rei. O método escolhido foi o “Regressivo-Progressivo” de Henri Lefebvre (1978) e o trabalho se desenvolveu com auxílio cartográfico, estatístico, bibliográfico e histórico-oral. Não se pretende apresentar conclusões acabadas, mas oferecer um olhar para a questão a partir da geografia crítica. O bairro São Dimas, que se desenvolveu no final do século XX, foi escolhido para mostrar que a luta, em suas diferentes orientações e escalas, também é urbana e que as ações são políticas.	Tatiane Marina Pinto de Godoy		São João del- Rei	São Dimas	https://drive.google.com/file/d/11IWys9uoYKxxgXV_7Q5vagH-ZnA5X0TD/view?usp=sharing
192	REGISTROS DE MEMÓRIA: LEITURA DA PAISAGEM CULTURAL DA CIDADE DE SÃO JOÃO DEL REI, EM MINAS GERAIS, POR MEIO DA ICONOGRAFIA HISTÓRICA	Vanessa Borges Brasileiro ; André Guilherme Dornelles Dangelo e Celina Borges Lemos	Textual	Artigo	Digital	Interdisciplinar (Arquitetura e Urbanismo.; História)	paisagem cultural; iconografia histórica; memória; São João Del Rei.	2013	Porto (FLUP)	Este artigo visa analisar a conformação da paisagem cultural da cidade de São João Del Rei, em Minas Gerais, a partir dos registros histórico-iconográficos. Resulta de uma pesquisa desenvolvida com financiamento da Fundação de Amparo à Pesquisa do Estado de Minas Gerais (FAPEMIG) entre 2010 e 2012, que teve por objetivo elaborar um estudo sobre a morfologia urbana e tipologias arquitetônicas fundamentais para se entender as formas de ocupação territorial da cidade histórica de São João Del Rei.	-	-	São João del- Rei		https://drive.google.com/file/d/1DTj2JUmNQwmUL0wTdZM5hnVOwjjBkIUB/view?usp=sharing
193	MAPEAMENTO DIGITAL DAS ÁREAS PROPÍCIAS ÀS ENCHENTES E INUNDAÇÕES NA BACIA DO CÓRREGO DO LENHEIRO EM SÃO JOÃO DEL- REI – MG	Thiago Gonçalves Santos e Sílvia Elena Ventorini	Textual	Artigo	Digital	Geografia	áreas de risco; algebra de mapas; cartografia digital	2017	Florianopolis (Revista PerCursos)	Neste artigo, objetiva-se indicar as ações humanas que ocasionam enchentes e inundações na área urbana localizada na Bacia do Córrego do Lenheiro, no município de São João del-Rei – MG. A fundamentação teórica e metodológica tem como base a Teoria Geral dos Sistemas Aplicados à Geografia. Uma base cartográfica e um modelo de síntese das áreas suscetíveis aos desastres humanos de natureza foram elaborados no software ArcGis10.1®. Dados primários foram coletados em campo, por meio de observações, registros fotográficos e aplicação de um questionário respondido por 24 moradores. Aliado a estes, foram analisados dados secundários coletados em órgãos públicos.	-	-	São João del- Rei	Tejuco, Fábricas	https://drive.google.com/file/d/1A0BytZf5CvTyP09DC2tXpIw0xBcC58Lv/view?usp=sharing
194	PRONAF: AGRICULTURA FAMILIAR CAMPONESA, DESENVOLVIMENTO TERRITORIAL RURAL E MULTIFUNCIONALIDADE EM SÃO JOÃO DEL-REI/ MG		Textual		Digital										
195	A PRINCESA DO OESTE E O MITO DA DECADÊNCIA DE MINAS GERAIS 		Textual		Digital										https://books.google.com.br/books?hl=pt-BR&lr=&id=VYkKbPSwXGoC&oi=fnd&pg=PA9&dq=%22S%C3%A3o+Jo%C3%A3o+del+Rei%22&ots=o1ilwsVm_U&sig=nJkZTD_qZpKPy_5OnMaDudv2wl0#v=onepage&q=%22S%C3%A3o%20Jo%C3%A3o%20del%20Rei%22&f=false
196	UM ESTUDO INTRODUTÓRIO ACERCA DA VIOLÊNCIA ENTRE ADOLESCENTES: O CASO DE SÃO JOÃO DEL-REI		Textual		Digital										
197	APARTHEID À BRASILEIRA - NOTAS SOBRE A SEGREGAÇÃO AMBIENTAL URBANA DE BASE RACIAL EM SÃO JOÃO DEL-REI (MG)		Textual		Digital										
198	GESTÃO DE RESÍDUOS SÓLIDOS EM ESTABELECIMENTOS DE HOSPEDAGEM: ESTUDO DE CASO EM SÃO JOÃO DEL REI - MG		Textual		Digital										
199	MÚSICA POPULAR EM MINAS GERAIS NO SÉCULO XIX: SÃO JOÃO DEL REI, UM ESTUDO DE CASO		Textual		Digital										
200	ESTUDO DE MOVIMENTOS DE SUBSIDÊNCIA NA REGIÃO CENTRAL DE SÃO JOÃO DEL REI - MG		Textual		Digital										
201	MAPEAMENTO DA PLANÍCIE DO RIO DAS MORTES NAS CIDADES DE TIRADENTES, SANTA CRUZ DE MINAS E SÃO JOÃO DEL REI – MG		Textual		Digital										
202	O “DEMÔNIO NEGRO”: O NEGRO COMO MALIGNO NAS REPRESENTAÇÕES RELIGIOSAS E RACIAIS DA IMPRENSA DE SÃO JOÃO DEL-REI (1871-1889)		Textual		Digital										
203	ESTUDO SOBRE A ÁREA DE PRESERVAÇÃO PERMANENTE DA CIDADE DE SÃO JOÃO DEL REI		Textual		Digital										
204	RAÇA E MÃO-DE-OBRA EM SÃO JOÃO DEL-REI: A PENETRAÇÃO DAS IDÉIAS RACIAIS NO INTERIOR MINEIRO		Textual		Digital										
205	IMIGRANTES ITALIANOS NA CIDADE DE SÃO JOÃO DEL-REI		Textual		Digital										
206	ASPECTOS ESTRUTURAIS DA CONSTRUÇÃO SOCIAL DO RISCO AMBIENTAL EM TERRITÓRIOS DE CLASSES POPULARES: O CASO DE SÃO JOÃO DEL-REI (MINAS GERAIS, BRASIL)		Textual		Digital										
207	PAISAGENS SONORAS DE RESISTÊNCIA: o Rap na Bika e a ocupação da cidade 		Textual		Digital										
208	A ANTROPOTOPONÍMIA DA CIDADE DE SÃO JOÃO DEL-REI – MINAS GERAIS		Textual		Digital										
209	A (RE) ORGANIZAÇÃO DO TERRITÓRIO A PARTIR DO PROCESSO DE MODERNIZAÇÃO AGRÍCOLA: O CASO DO MUNICÍPIO DE SÃO JOÃO DEL REI-MG		Textual		Digital										
210	MULHERES LÉSBICAS, VIOLÊNCIA E ESPAÇO URBANO: O QUE PODEMOS APREENDER DAS EXPERIÊNCIAS DE SÃO JOÃO DEL REI, BRASIL E GUANAJUATO, MÉXICO		Textual		Digital										
211	DISPERSÃO E FRAGMENTAÇÃO SOCIOESPACIAIS EM SÃO JOÃO DEL REI, MG: CONSIDERAÇÕES PARCIAIS		Textual		Digital										
212	PRODUÇÃO DO ESPAÇO E O PMCMV: ANÁLISE COMPARATIVA DA INSERÇÃO URBANA DOS EMPREENDIMENTOS FAIXA 1 E FAIXA 2 PRODUZIDOS EM SÃO JOÃO DEL REI, MG		Textual		Digital										
213	OS DONOS DO POSTE, OS DONOS DO PODER: USOS E DISPUTAS NA PAISAGEM URBANA EM SÃO JOÃO DEL-REI - MG														
214	A PAISAGEM DO BAIRRO COLÔNIA DO MARÇAL EM SÃO JOÃO DELREI (MG): QUALIDADE DE VIDA E EXPANSÃO URBANA.														
